config,n_avail,available,removed_to_reach,first_pick,f1_mean,f1_std,mu_mean,mean_k,ref_f1_mean,ref_f1_std,ref_mu_mean
0,6,video audio text m‑hand m‑head m‑rot,,text,0.6684025919906723,0.029917151611082757,0.5581768518942408,3.349061111365445,0.6679964994827147,0.02012041228395059,1.0
1,5,video audio m‑hand m‑head m‑rot,text,audio,0.5634322612980136,0.06642890911901456,0.582146302700888,2.9107315135044396,0.5263439388486664,0.09878616703728099,1.0
2,4,video m‑hand m‑head m‑rot,audio,video,0.34232781323028316,0.0889463481848201,0.4726070584149629,1.8904282336598517,0.3704208752384115,0.0822226829920195,1.0
3,3,m‑hand m‑head m‑rot,video,m‑head,0.38108798764013363,0.03402343742589596,0.7081130700992196,2.124339210297659,0.3618992272516351,0.04549657080733187,1.0
4,2,m‑hand m‑rot,m‑head,m‑rot,0.25961423478906853,0.1107243232703059,0.6549321598826549,1.3098643197653097,0.26076050786736343,0.08876484089147023,1.0
